"param","estimator","scenario_id","R","cov_90","cov_95","mcse_90","mcse_95","mean_width_90","mean_width_95","width_ratio_95_90"
"log_kappa","E_UW","S4",200,90.5,93.5,2.07334271166153,1.74320107847603,0.068077493675,0.0811719834959263,1.19234682586053
"log_kappa","E_WT","S0",200,64,73,3.39411254969543,3.13926743046845,0.07630646255,0.090954630202766,1.19196496814628
"log_kappa","E_WT","S3",200,34,38.5,3.34962684488884,3.44074846508721,0.07541986885,0.0899138151392971,1.19217676336886
"log_kappa","E_WT","S4",200,23,28,2.9757352032733,3.17490157327751,0.0737667671,0.088054783199405,1.19369177559369
"log_kappa","E_WS","S0",200,76.5,84.5,2.998124413696,2.55905255905384,0.0995967325904845,0.118676826713758,1.19157349470214
"log_kappa","E_WS","S3",200,60.5,68.5,3.45669639974355,3.28462326606873,0.131812830427381,0.157064674998934,1.19157349470214
"log_kappa","E_WS","S4",200,57,68,3.50071421284286,3.29848450049413,0.150851096708594,0.17975016848471,1.19157349470214
"tau_ext","E_UW","S0",200,97.5,100,1.10397010829098,0,0.3389964022025,0.408374029655749,1.20465594030643
"tau_ext","E_UW","S3",200,98,99.5,0.989949493661167,0.4987484335815,0.40226198701,0.484260721553755,1.20384410456789
"tau_ext","E_UW","S4",200,77,93,2.9757352032733,1.80416185526687,0.4167183258975,0.501161041417147,1.20263739382659
"tau_ext","E_WT","S0",200,3,7,1.20623380818148,1.80416185526687,0.4298867354025,0.516861328781668,1.20231978848506
"tau_ext","E_WT","S3",200,0.5,0.5,0.4987484335815,0.4987484335815,0.518567910115,0.624039619495338,1.20339035124049
"tau_ext","E_WT","S4",200,0,0,0,0,0.52715979905,0.634169653455366,1.20299319978157
"tau_ext","E_WS","S0",200,3,7,1.20623380818148,1.80416185526687,0.4298867354025,0.516861328781668,1.20231978848506
"tau_ext","E_WS","S3",200,0.5,0.5,0.4987484335815,0.4987484335815,0.518567910115,0.624039619495338,1.20339035124049
"tau_ext","E_WS","S4",200,0,0,0,0,0.52715979905,0.634169653455366,1.20299319978157
"tau_int","E_UW","S0",200,91,95,2.02361063448481,1.54110350074224,0.1342815085275,0.161767268764494,1.20468760396272
"tau_int","E_UW","S3",200,97.5,99.5,1.10397010829098,0.4987484335815,0.16041104145375,0.193667392728554,1.20731958955826
"tau_int","E_UW","S4",200,97,98.5,1.20623380818148,0.859505671883555,0.1766679173705,0.212782207390587,1.20441906237197
"tau_int","E_WT","S0",200,8,12,1.91833260932509,2.29782505861521,0.1544363871025,0.18561500353541,1.20188646612289
"tau_int","E_WT","S3",200,0,0.5,0,0.4987484335815,0.1694638783875,0.203803739890908,1.20263823671547
"tau_int","E_WT","S4",200,0,0,0,0,0.17297889397,0.207896243875783,1.20185901935434
"tau_int","E_WS","S0",200,8,12,1.91833260932509,2.29782505861521,0.1544363871025,0.18561500353541,1.20188646612289
"tau_int","E_WS","S3",200,0,0.5,0,0.4987484335815,0.1694638783875,0.203803739890908,1.20263823671547
"tau_int","E_WS","S4",200,0,0,0,0,0.17297889397,0.207896243875783,1.20185901935434
